1.000 0.010
11 37  -0.433258 -1.212851 
11 38  -0.357854 -1.221932 
11 39  -0.284035 -1.227773 
11 40  -0.211699 -1.230545 
11 41  -0.140761 -1.230391 
11 42  -0.071143 -1.227433 
11 43  -0.002778 -1.221774 
11 44  0.064391 -1.213498 
11 45  0.130417 -1.202675 
11 46  0.195344 -1.189362 
11 47  0.259210 -1.173601 
11 48  0.322050 -1.155424 
11 49  0.383890 -1.134851 
11 50  0.444756 -1.111890 
11 51  0.504666 -1.086540 
11 52  0.563636 -1.058790 
11 53  0.621676 -1.028615 
11 54  0.678794 -0.995982 
11 55  0.734991 -0.960846 
11 56  0.790267 -0.923148 
11 57  0.844614 -0.882817 
11 58  0.898023 -0.839767 
11 59  0.950476 -0.793896 
11 60  1.001951 -0.745085 
11 61  1.052421 -0.693191 
11 62  1.101847 -0.638052 
11 63  1.150187 -0.579473 
11 64  1.197386 -0.517232 
11 65  1.243378 -0.451065 
11 66  1.288083 -0.380661 
11 67  1.331403 -0.305656 
11 68  1.373221 -0.225613 
11 69  1.413391 -0.140009 
11 70  1.451738 -0.048213 
11 71  1.488039 0.050551 
11 72  1.522019 0.157243 
11 73  1.553326 0.273073 
11 74  1.581503 0.399590 
11 75  1.605949 0.538821 
11 76  1.625851 0.693486 
11 77  1.640076 0.867348 
11 78  1.646987 1.065805 
11 79  1.644108 1.296984 
11 80  1.627455 1.573874 
11 81  1.590082 1.919028 
11 82  1.518365 2.376466 
11 83  1.380233 3.049389 
11 84  1.069928 4.276732 
11 85  -0.384426 9.159648 
12 15  -4.500440 3.697257 
12 16  -3.460472 1.776082 
12 17  -2.983247 0.977031 
12 18  -2.667964 0.499350 
12 19  -2.427346 0.169117 
12 20  -2.229140 -0.077772 
12 21  -2.058131 -0.271473 
12 22  -1.906015 -0.428394 
12 23  -1.767791 -0.558381 
12 24  -1.640227 -0.667779 
12 25  -1.521117 -0.760895 
12 26  -1.408892 -0.840784 
12 27  -1.302397 -0.909683 
12 28  -1.200758 -0.969277 
12 29  -1.103295 -1.020864 
12 30  -1.009474 -1.065464 
12 31  -0.918863 -1.103891 
12 32  -0.831111 -1.136803 
12 33  -0.745927 -1.164741 
12 34  -0.663069 -1.188151 
12 35  -0.582332 -1.207404 
12 36  -0.503541 -1.222813 
12 37  -0.426549 -1.234641 
12 38  -0.351226 -1.243112 
12 39  -0.277460 -1.248417 
12 40  -0.205155 -1.250715 
12 41  -0.134225 -1.250145 
12 42  -0.064597 -1.246821 
12 43  0.003794 -1.240843 
12 44  0.071007 -1.232291 
12 45  0.137090 -1.221231 
12 46  0.202088 -1.207718 
12 47  0.266038 -1.191792 
12 48  0.328975 -1.173484 
12 49  0.390925 -1.152811 
12 50  0.451913 -1.129783 
12 51  0.511958 -1.104398 
12 52  0.571076 -1.076643 
12 53  0.629277 -1.046497 
12 54  0.686570 -1.013925 
12 55  0.742957 -0.978884 
12 56  0.798437 -0.941318 
12 57  0.853006 -0.901158 
12 58  0.906654 -0.858321 
12 59  0.959366 -0.812708 
12 60  1.011122 -0.764204 
12 61  1.061896 -0.712674 
12 62  1.111655 -0.657960 
12 63  1.160357 -0.599879 
12 64  1.207952 -0.538215 
12 65  1.254381 -0.472719 
12 66  1.299568 -0.403096 
12 67  1.343424 -0.329001 
12 68  1.385841 -0.250023 
12 69  1.426687 -0.165671 
12 70  1.465801 -0.075354 
12 71  1.502982 0.021647 
12 72  1.537981 0.126218 
12 73  1.570483 0.239469 
12 74  1.600083 0.362806 
12 75  1.626254 0.498053 
12 76  1.648287 0.647627 
12 77  1.665215 0.814821 
12 78  1.675662 1.004277 
12 79  1.677594 1.222817 
